quarter,time,score,action
רבע 2,09:13,22-25,נבו זומרפלד איבוד כדור
רבע 2,09:19,22-25,דווייט וילסון שחקן נכנס למשחק
רבע 2,09:19,22-25,עמית ראובן שחקן נכנס למשחק
רבע 2,09:19,22-25,רביב פיטשון שחקן יוצא מהמגרש
רבע 2,09:19,22-25,שחר שלמון שחקן יוצא מהמגרש
רבע 2,09:25,22-25,אוהד דקל חטיפה
רבע 2,09:25,22-25,רביב פיטשון איבוד כדור
רבע 2,09:49,22-25,יונתן קלר אסיסט
רבע 2,09:49,22-25,קינדל היל קליעה 3 נק׳ (jumpshot)
רבע 2,10:00,22-22,רוברט טרנר שחקן נכנס למשחק
רבע 2,10:00,22-22,נועם יעקובי שחקן יוצא מהמגרש
רבע 2,10:00,22-22,קינדל היל שחקן נכנס למשחק
רבע 2,10:00,22-22,ליעד משען שחקן יוצא מהמגרש
רבע 1,00:03,22-22,ים שפריר ריבאונד הגנה
רבע 1,00:03,22-22,נועם יעקובי החטיא 2 נק׳ (layup)
רבע 1,00:18,22-22,נבו זומרפלד אסיסט
רבע 1,00:18,22-22,יונתן קלר קליעה 2 נק׳ (layup)
רבע 1,00:36,22-20,אמרי שביט שחקן נכנס למשחק
רבע 1,00:36,22-20,רוברט טרנר שחקן יוצא מהמגרש
רבע 1,00:36,22-20,רוברט טרנר קליעת עונשין (1of1)
רבע 1,00:36,21-20,רוברט טרנר סחט עבירה
רבע 1,00:36,21-20,יונתן קלר עבירה אישית (personal)
רבע 1,00:36,21-20,רוברט טרנר קליעה 2 נק׳ (layup)
רבע 1,00:39,19-20,נועם יעקובי ריבאונד הגנה
רבע 1,00:44,19-20,יונתן קלר החטיא 3 נק׳ (jumpshot)
רבע 1,01:05,19-20,שחר שלמון אסיסט
רבע 1,01:05,19-20,בר שינבוים קליעה 3 נק׳ (jumpshot)
רבע 1,01:14,16-20,רוברט טרנר ריבאונד הגנה
רבע 1,01:18,16-20,נבו זומרפלד החטיא 3 נק׳ (jumpshot)
רבע 1,01:25,16-20,נבו זומרפלד סחט עבירה
רבע 1,01:25,16-20,נועם יעקובי עבירה אישית (personal)
רבע 1,01:35,16-20,רביב פיטשון קליעה 3 נק׳ (jumpshot)
רבע 1,01:47,13-20,נועם יעקובי סחט עבירה
רבע 1,01:47,13-20,אוהד דקל איבוד כדור
רבע 1,01:47,13-20,אוהד דקל עבירה אישית (offensive)
רבע 1,01:50,13-20,ליעד משען שחקן נכנס למשחק
רבע 1,01:50,13-20,יונתן קלר שחקן נכנס למשחק
רבע 1,01:50,13-20,עילי שאול שחקן יוצא מהמגרש
רבע 1,01:50,13-20,גל שטרנברג שחקן יוצא מהמגרש
רבע 1,01:57,13-20,גל שטרנברג ריבאונד הגנה
רבע 1,02:00,13-20,נועם יעקובי החטיא 3 נק׳ (jumpshot)
רבע 1,02:10,13-20,רוברט טרנר סחט עבירה
רבע 1,02:10,13-20,גל שטרנברג עבירה אישית (personal)
רבע 1,02:11,13-20,רוברט טרנר סחט עבירה
רבע 1,02:11,13-20,נבו זומרפלד עבירה אישית (personal)
רבע 1,02:16,13-20,בר שינבוים שחקן נכנס למשחק
רבע 1,02:16,13-20,אמרי שביט שחקן יוצא מהמגרש
רבע 1,02:16,13-20,אוהד דקל שחקן נכנס למשחק
רבע 1,02:16,13-20,קינדל היל שחקן יוצא מהמגרש
רבע 1,02:16,13-20,מכבי אשדוד פסק זמן
רבע 1,02:20,13-20,נבו זומרפלד אסיסט
רבע 1,02:20,13-20,גל שטרנברג קליעה 3 נק׳ (jumpshot)
רבע 1,02:38,13-17,נועם יעקובי איבוד כדור
רבע 1,02:44,13-17,מכבי אשדוד ריבאונד התקפה
רבע 1,02:45,13-17,רוברט טרנר החטיא 2 נק׳ (jumpshot)
רבע 1,03:00,13-17,עילי שאול אסיסט
רבע 1,03:00,13-17,קינדל היל קליעה 2 נק׳ (layup)
רבע 1,03:12,13-15,נועם יעקובי שחקן נכנס למשחק
רבע 1,03:12,13-15,עמית ראובן שחקן יוצא מהמגרש
רבע 1,03:12,13-15,נבו זומרפלד שחקן נכנס למשחק
רבע 1,03:12,13-15,עמרי שלף שחקן יוצא מהמגרש
רבע 1,03:12,13-15,קינדל היל סחט עבירה
רבע 1,03:12,13-15,עמית ראובן עבירה אישית (personal)
רבע 1,03:23,13-15,עמרי שלף ריבאונד הגנה
רבע 1,03:26,13-15,עמית ראובן החטיא 3 נק׳ (jumpshot)
רבע 1,03:35,13-15,גל שטרנברג אסיסט
רבע 1,03:35,13-15,קינדל היל קליעה 2 נק׳ (layup)
רבע 1,03:53,13-13,רוברט טרנר אסיסט
רבע 1,03:53,13-13,עמית ראובן קליעה 3 נק׳ (jumpshot)
רבע 1,04:05,10-13,גל שטרנברג קליעת עונשין (2of2)
רבע 1,04:05,10-12,עילי שאול אסיסט
רבע 1,04:05,10-12,גל שטרנברג קליעת עונשין (1of2)
רבע 1,04:06,10-11,גל שטרנברג סחט עבירה
רבע 1,04:06,10-11,שחר שלמון עבירה אישית (personal)
רבע 1,04:24,10-11,עמית ראובן קליעה 3 נק׳ (jumpshot)
רבע 1,04:30,7-11,רביב פיטשון ריבאונד הגנה
רבע 1,04:34,7-11,עמרי שלף החטיא 3 נק׳ (jumpshot)
רבע 1,04:54,7-11,רביב פיטשון שחקן נכנס למשחק
רבע 1,04:54,7-11,דווייט וילסון שחקן יוצא מהמגרש
רבע 1,04:54,7-11,דווייט וילסון איבוד כדור
רבע 1,05:01,7-11,דווייט וילסון ריבאונד הגנה
רבע 1,05:05,7-11,עמרי שלף החטיא 2 נק׳ (layup)
רבע 1,05:23,7-11,גל שטרנברג ריבאונד הגנה
רבע 1,05:23,7-11,דווייט וילסון זריקת עונשין (2of2)
רבע 1,05:24,7-11,שחר שלמון שחקן נכנס למשחק
רבע 1,05:24,7-11,בן גולד שחקן יוצא מהמגרש
רבע 1,05:23,7-11,דווייט וילסון זריקת עונשין (1of2)
רבע 1,05:24,7-11,דווייט וילסון סחט עבירה
רבע 1,05:24,7-11,קינדל היל עבירה אישית (personal)
רבע 1,05:24,7-11,דווייט וילסון ריבאונד התקפה
רבע 1,05:27,7-11,עמית ראובן החטיא 2 נק׳ (jumpshot)
רבע 1,05:45,7-11,איתם כהן אסיסט
רבע 1,05:45,7-11,גל שטרנברג קליעה 2 נק׳ (layup)
רבע 1,05:53,7-9,איתם כהן חטיפה
רבע 1,05:53,7-9,רוברט טרנר איבוד כדור
רבע 1,06:31,7-6,איתם כהן אסיסט
רבע 1,06:13,7-9,קינדל היל אסיסט
רבע 1,06:13,7-9,עמרי שלף קליעה 3 נק׳ (jumpshot)
רבע 1,06:15,7-6,קינדל היל ריבאונד הגנה
רבע 1,06:19,7-6,דווייט וילסון החטיא 2 נק׳ (layup)
רבע 1,06:31,7-6,עילי שאול קליעה 2 נק׳ (layup)
רבע 1,06:36,7-4,עילי שאול חטיפה
רבע 1,06:36,7-4,עמית ראובן איבוד כדור
רבע 1,06:38,7-4,דווייט וילסון ריבאונד הגנה
רבע 1,06:43,7-4,קינדל היל החטיא 2 נק׳ (layup)
רבע 1,07:01,7-4,אמרי שביט אסיסט
רבע 1,07:01,7-4,עמית ראובן קליעה 3 נק׳ (jumpshot)
רבע 1,07:06,4-4,אמרי שביט ריבאונד הגנה
רבע 1,07:09,4-4,גל שטרנברג החטיא 3 נק׳ (jumpshot)
רבע 1,07:24,4-4,רוברט טרנר קליעה 2 נק׳ (jumpshot)
רבע 1,07:40,2-4,עמרי שלף קליעת עונשין (2of2)
רבע 1,07:40,2-3,עמרי שלף קליעת עונשין (1of2)
רבע 1,07:40,2-2,עמרי שלף סחט עבירה
רבע 1,07:40,2-2,בן גולד עבירה אישית (personal)
רבע 1,07:46,2-2,איתם כהן חטיפה
רבע 1,07:46,2-2,עמית ראובן איבוד כדור
רבע 1,07:52,2-2,עמית ראובן ריבאונד הגנה
רבע 1,07:58,2-2,איתם כהן החטיא 3 נק׳ (jumpshot)
רבע 1,08:12,2-2,גל שטרנברג ריבאונד הגנה
רבע 1,08:15,2-2,עמית ראובן החטיא 3 נק׳ (jumpshot)
רבע 1,08:36,2-2,עמרי שלף קליעה 2 נק׳ (layup)
רבע 1,08:39,2-0,גל שטרנברג ריבאונד הגנה
רבע 1,08:44,2-0,אמרי שביט החטיא 2 נק׳ (layup)
רבע 1,08:58,2-0,דווייט וילסון ריבאונד הגנה
רבע 1,09:02,2-0,עילי שאול החטיא 3 נק׳ (jumpshot)
רבע 1,09:11,2-0,איתם כהן ריבאונד הגנה
רבע 1,09:16,2-0,בן גולד החטיא 3 נק׳ (jumpshot)
רבע 1,09:20,2-0,דווייט וילסון ריבאונד הגנה
רבע 1,09:24,2-0,קינדל היל החטיא 3 נק׳ (jumpshot)
רבע 1,09:43,2-0,רוברט טרנר קליעה 2 נק׳ (jumpshot)
רבע 1,09:58,0-0,קינדל היל jumpball
רבע 1,09:58,0-0,דווייט וילסון jumpball
רבע 1,10:00,0-0,שחקן jumpball
