quarter,time,score,side,action,ev_class,raw_text
רבע 1,07:46,2-2,away,9. עמית ראובן איבוד כדור,even quarter-1 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 07:46 2-2 9. עמית ראובן איבוד כדור
רבע 1,07:52,2-2,away,9. עמית ראובן ריבאונד הגנה,odd quarter-1 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 07:52 2-2 9. עמית ראובן ריבאונד הגנה
רבע 1,07:58,2-2,home,1. איתם כהן החטיא 3 נק׳ (jumpshot),even quarter-1 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,1. איתם כהן החטיא 3 נק׳ (jumpshot) רבע 1 07:58 2-2
רבע 1,08:12,2-2,home,7. גל שטרנברג ריבאונד הגנה,odd quarter-1 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג ריבאונד הגנה רבע 1 08:12 2-2
רבע 1,08:15,2-2,away,9. עמית ראובן החטיא 3 נק׳ (jumpshot),even quarter-1 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 08:15 2-2 9. עמית ראובן החטיא 3 נק׳ (jumpshot)
רבע 1,08:36,2-2,home,9. עמרי שלף קליעה 2 נק׳ (layup),odd quarter-1 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף קליעה 2 נק׳ (layup) רבע 1 08:36 2-2
רבע 1,08:39,2-0,home,7. גל שטרנברג ריבאונד הגנה,even quarter-1 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג ריבאונד הגנה רבע 1 08:39 2-0
רבע 1,08:44,2-0,away,6. אמרי שביט החטיא 2 נק׳ (layup),odd quarter-1 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 08:44 2-0 6. אמרי שביט החטיא 2 נק׳ (layup)
רבע 1,08:58,2-0,away,77. דווייט וילסון ריבאונד הגנה,even quarter-1 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 08:58 2-0 77. דווייט וילסון ריבאונד הגנה
רבע 1,09:02,2-0,home,33. עילי שאול החטיא 3 נק׳ (jumpshot),odd quarter-1 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול החטיא 3 נק׳ (jumpshot) רבע 1 09:02 2-0
רבע 1,09:11,2-0,home,1. איתם כהן ריבאונד הגנה,even quarter-1 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,1. איתם כהן ריבאונד הגנה רבע 1 09:11 2-0
רבע 1,09:16,2-0,away,32. בן גולד החטיא 3 נק׳ (jumpshot),odd quarter-1 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 09:16 2-0 32. בן גולד החטיא 3 נק׳ (jumpshot)
רבע 1,09:20,2-0,away,77. דווייט וילסון ריבאונד הגנה,even quarter-1 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 09:20 2-0 77. דווייט וילסון ריבאונד הגנה
רבע 1,09:24,2-0,home,5. קינדל היל החטיא 3 נק׳ (jumpshot),odd quarter-1 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל החטיא 3 נק׳ (jumpshot) רבע 1 09:24 2-0
רבע 1,09:43,2-0,away,3. רוברט טרנר קליעה 2 נק׳ (jumpshot),even quarter-1 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 09:43 2-0 3. רוברט טרנר קליעה 2 נק׳ (jumpshot)
רבע 1,09:58,0-0,home,5. קינדל היל jumpball,odd quarter-1 key-jumpball sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל jumpball רבע 1 09:58 0-0
רבע 1,09:58,0-0,away,77. דווייט וילסון jumpball,even quarter-1 key-jumpball sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 09:58 0-0 77. דווייט וילסון jumpball
רבע 1,10:00,0-0,away,שחקן jumpball,odd quarter-1 key-jumpball sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 10:00 0-0 שחקן jumpball
