quarter,time,score,side,action,ev_class,raw_text
רבע 3,06:25,42-50,home,33. עילי שאול סחט עבירה,odd quarter-3 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול סחט עבירה רבע 3 06:25 42-50
רבע 3,06:25,42-50,away,21. נועם יעקובי עבירה אישית (personal),even quarter-3 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 06:25 42-50 21. נועם יעקובי עבירה אישית (personal)
רבע 3,06:43,42-50,away,32. בן גולד שחקן נכנס למשחק,odd quarter-3 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 06:43 42-50 32. בן גולד שחקן נכנס למשחק
רבע 3,06:43,42-50,away,7. רביב פיטשון שחקן יוצא מהמגרש,even quarter-3 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 06:43 42-50 7. רביב פיטשון שחקן יוצא מהמגרש
רבע 3,06:43,42-50,home,33. עילי שאול סחט עבירה,odd quarter-3 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול סחט עבירה רבע 3 06:43 42-50
רבע 3,06:43,42-50,away,7. רביב פיטשון איבוד כדור,even quarter-3 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 06:43 42-50 7. רביב פיטשון איבוד כדור
רבע 3,06:43,42-50,away,7. רביב פיטשון עבירה אישית (offensive),odd quarter-3 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 06:43 42-50 7. רביב פיטשון עבירה אישית (offensive)
רבע 3,06:54,42-50,home,5. קינדל היל איבוד כדור,even quarter-3 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל איבוד כדור רבע 3 06:54 42-50
רבע 3,07:07,42-50,home,23. נבו זומרפלד ריבאונד הגנה,odd quarter-3 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד ריבאונד הגנה רבע 3 07:07 42-50
רבע 3,07:07,42-50,home,מ.כ עוטף דרום jumpball,even quarter-3 key-jumpball sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,מ.כ עוטף דרום jumpball רבע 3 07:07 42-50
רבע 3,07:12,42-50,away,7. רביב פיטשון החטיא 2 נק׳ (layup),even quarter-3 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 07:12 42-50 7. רביב פיטשון החטיא 2 נק׳ (layup)
רבע 3,07:32,42-50,away,21. נועם יעקובי סחט עבירה,even quarter-3 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 07:32 42-50 21. נועם יעקובי סחט עבירה
רבע 3,07:32,42-50,home,23. נבו זומרפלד איבוד כדור,odd quarter-3 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד איבוד כדור רבע 3 07:32 42-50
רבע 3,07:32,42-50,home,23. נבו זומרפלד עבירה אישית (offensive),even quarter-3 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד עבירה אישית (offensive) רבע 3 07:32 42-50
רבע 3,07:32,42-50,home,23. נבו זומרפלד ריבאונד הגנה,odd quarter-3 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד ריבאונד הגנה רבע 3 07:32 42-50
רבע 3,07:36,42-50,away,7. רביב פיטשון החטיא 2 נק׳ (layup),odd quarter-3 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 07:36 42-50 7. רביב פיטשון החטיא 2 נק׳ (layup)
רבע 3,07:38,42-50,away,7. רביב פיטשון ריבאונד התקפה,even quarter-3 key-off sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 07:38 42-50 7. רביב פיטשון ריבאונד התקפה
רבע 3,07:42,42-50,away,3. רוברט טרנר החטיא 3 נק׳ (jumpshot),odd quarter-3 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 07:42 42-50 3. רוברט טרנר החטיא 3 נק׳ (jumpshot)
רבע 3,07:54,42-50,home,7. גל שטרנברג קליעה 2 נק׳ (jumpshot),even quarter-3 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג קליעה 2 נק׳ (jumpshot) רבע 3 07:54 42-50
רבע 3,08:08,42-48,home,23. נבו זומרפלד קליעת עונשין (2of2),even quarter-3 key-ftm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד קליעת עונשין (2of2) רבע 3 08:08 42-48
רבע 3,08:08,42-47,home,23. נבו זומרפלד זריקת עונשין (1of2),odd quarter-3 key-fta sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד זריקת עונשין (1of2) רבע 3 08:08 42-47
רבע 3,08:08,42-47,away,21. נועם יעקובי שחקן נכנס למשחק,even quarter-3 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 08:08 42-47 21. נועם יעקובי שחקן נכנס למשחק
רבע 3,08:08,42-47,away,9. עמית ראובן שחקן יוצא מהמגרש,odd quarter-3 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 08:08 42-47 9. עמית ראובן שחקן יוצא מהמגרש
רבע 3,08:08,42-47,home,23. נבו זומרפלד סחט עבירה,even quarter-3 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד סחט עבירה רבע 3 08:08 42-47
רבע 3,08:08,42-47,away,9. עמית ראובן עבירה אישית (unsportsmanlike),odd quarter-3 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 08:08 42-47 9. עמית ראובן עבירה אישית (unsportsmanlike)
