quarter,time,score,side,action
רבע 1,03:00,13-17,home,רבע 1 03:00 13-17
רבע 1,03:12,13-15,away,רבע 1 03:12 13-15
רבע 1,03:12,13-15,away,רבע 1 03:12 13-15
רבע 1,03:12,13-15,home,רבע 1 03:12 13-15
רבע 1,03:12,13-15,home,רבע 1 03:12 13-15
רבע 1,03:12,13-15,home,רבע 1 03:12 13-15
רבע 1,03:12,13-15,away,רבע 1 03:12 13-15
רבע 1,03:23,13-15,home,רבע 1 03:23 13-15
רבע 1,03:26,13-15,away,רבע 1 03:26 13-15
רבע 1,03:35,13-15,home,רבע 1 03:35 13-15
רבע 1,03:35,13-15,home,רבע 1 03:35 13-15
רבע 1,03:53,13-13,away,רבע 1 03:53 13-13
רבע 1,03:53,13-13,away,רבע 1 03:53 13-13
רבע 1,04:05,10-13,home,רבע 1 04:05 10-13
רבע 1,04:05,10-12,home,רבע 1 04:05 10-12
רבע 1,04:05,10-12,home,רבע 1 04:05 10-12
רבע 1,04:06,10-11,home,רבע 1 04:06 10-11
רבע 1,04:06,10-11,away,רבע 1 04:06 10-11
רבע 1,04:24,10-11,away,רבע 1 04:24 10-11
רבע 1,04:30,7-11,away,רבע 1 04:30 7-11
רבע 1,04:34,7-11,home,רבע 1 04:34 7-11
רבע 1,04:54,7-11,away,רבע 1 04:54 7-11
רבע 1,04:54,7-11,away,רבע 1 04:54 7-11
רבע 1,04:54,7-11,away,רבע 1 04:54 7-11
רבע 1,05:01,7-11,away,רבע 1 05:01 7-11
רבע 1,05:05,7-11,home,רבע 1 05:05 7-11
רבע 1,05:23,7-11,home,רבע 1 05:23 7-11
רבע 1,05:23,7-11,away,רבע 1 05:23 7-11
רבע 1,05:24,7-11,away,רבע 1 05:24 7-11
רבע 1,05:24,7-11,away,רבע 1 05:24 7-11
רבע 1,05:23,7-11,away,רבע 1 05:23 7-11
רבע 1,05:24,7-11,away,רבע 1 05:24 7-11
רבע 1,05:24,7-11,home,רבע 1 05:24 7-11
רבע 1,05:24,7-11,away,רבע 1 05:24 7-11
רבע 1,05:27,7-11,away,רבע 1 05:27 7-11
רבע 1,05:45,7-11,home,רבע 1 05:45 7-11
רבע 1,05:45,7-11,home,רבע 1 05:45 7-11
רבע 1,05:53,7-9,home,רבע 1 05:53 7-9
רבע 1,05:53,7-9,away,רבע 1 05:53 7-9
רבע 1,06:31,7-6,home,רבע 1 06:31 7-6
רבע 1,06:13,7-9,home,רבע 1 06:13 7-9
רבע 1,06:13,7-9,home,רבע 1 06:13 7-9
רבע 1,06:15,7-6,home,רבע 1 06:15 7-6
רבע 1,06:19,7-6,away,רבע 1 06:19 7-6
רבע 1,06:31,7-6,home,רבע 1 06:31 7-6
רבע 1,06:36,7-4,home,רבע 1 06:36 7-4
רבע 1,06:36,7-4,away,רבע 1 06:36 7-4
רבע 1,06:38,7-4,away,רבע 1 06:38 7-4
רבע 1,06:43,7-4,home,רבע 1 06:43 7-4
רבע 1,07:01,7-4,away,רבע 1 07:01 7-4
רבע 1,07:01,7-4,away,רבע 1 07:01 7-4
רבע 1,07:06,4-4,away,רבע 1 07:06 4-4
רבע 1,07:09,4-4,home,רבע 1 07:09 4-4
רבע 1,07:24,4-4,away,רבע 1 07:24 4-4
רבע 1,07:40,2-4,home,רבע 1 07:40 2-4
רבע 1,07:40,2-3,home,רבע 1 07:40 2-3
רבע 1,07:40,2-2,home,רבע 1 07:40 2-2
רבע 1,07:40,2-2,away,רבע 1 07:40 2-2
רבע 1,07:46,2-2,home,רבע 1 07:46 2-2
רבע 1,07:46,2-2,away,רבע 1 07:46 2-2
רבע 1,07:52,2-2,away,רבע 1 07:52 2-2
רבע 1,07:58,2-2,home,רבע 1 07:58 2-2
רבע 1,08:12,2-2,home,רבע 1 08:12 2-2
רבע 1,08:15,2-2,away,רבע 1 08:15 2-2
רבע 1,08:36,2-2,home,רבע 1 08:36 2-2
רבע 1,08:39,2-0,home,רבע 1 08:39 2-0
רבע 1,08:44,2-0,away,רבע 1 08:44 2-0
רבע 1,08:58,2-0,away,רבע 1 08:58 2-0
רבע 1,09:02,2-0,home,רבע 1 09:02 2-0
רבע 1,09:11,2-0,home,רבע 1 09:11 2-0
רבע 1,09:16,2-0,away,רבע 1 09:16 2-0
רבע 1,09:20,2-0,away,רבע 1 09:20 2-0
רבע 1,09:24,2-0,home,רבע 1 09:24 2-0
רבע 1,09:43,2-0,away,רבע 1 09:43 2-0
רבע 1,09:58,0-0,home,רבע 1 09:58 0-0
רבע 1,09:58,0-0,away,רבע 1 09:58 0-0
רבע 1,10:00,0-0,away,רבע 1 10:00 0-0
